_id,date,user_count
1,2017-01-19,8698
2,2017-01-20,8147
3,2017-01-21,8359
4,2017-01-22,7484
5,2017-01-23,10204
6,2017-01-24,9492
7,2017-01-25,9464
8,2017-01-26,8881
9,2017-01-27,9077
10,2017-01-28,8891
11,2017-01-29,7616
12,2017-01-30,10490
13,2017-01-31,9796
14,2017-02-01,9956
15,2017-02-02,8444
16,2017-02-03,8001
17,2017-02-04,8982
18,2017-02-05,6742
19,2017-02-06,10291
20,2017-02-07,9070
21,2017-02-08,9928
22,2017-02-09,6043
23,2017-02-10,8428
24,2017-02-11,8339
25,2017-02-12,7803
26,2017-02-13,7402
27,2017-02-14,9730
28,2017-02-15,10224
29,2017-02-16,8876
30,2017-02-17,8167
31,2017-02-18,10340
32,2017-02-19,7321
33,2017-02-20,7390
34,2017-02-21,10740
35,2017-02-22,10327
36,2017-02-23,8070
37,2017-02-24,7617
38,2017-02-25,8083
39,2017-02-26,6455
40,2017-02-27,8434
41,2017-02-28,8592
42,2017-03-01,8450
43,2017-03-02,7315
44,2017-03-03,7003
45,2017-03-04,7133
46,2017-03-05,5913
47,2017-03-06,8768
48,2017-03-07,8223
49,2017-03-08,8424
50,2017-03-09,6957
51,2017-03-10,6002
52,2017-03-11,7623
53,2017-03-12,5649
54,2017-03-13,8617
55,2017-03-14,5164
56,2017-03-15,7908
57,2017-03-16,6755
58,2017-03-17,7187
59,2017-03-18,6823
60,2017-03-19,5527
61,2017-03-20,8346
62,2017-03-21,7915
63,2017-03-22,7781
64,2017-03-23,6478
65,2017-03-24,6947
66,2017-03-25,6731
67,2017-03-26,5507
68,2017-03-27,8112
69,2017-03-28,7872
70,2017-03-29,8061
71,2017-03-30,6684
72,2017-03-31,6804
73,2017-04-01,5963
74,2017-04-02,5389
75,2017-04-03,8315
76,2017-04-04,7358
77,2017-04-05,8064
78,2017-04-06,5828
79,2017-04-07,7393
80,2017-04-08,6814
81,2017-04-09,4989
82,2017-04-10,7655
83,2017-04-11,7192
84,2017-04-12,7523
85,2017-04-13,6000
86,2017-04-14,5208
87,2017-04-15,7483
88,2017-04-16,4080
89,2017-04-17,4849
90,2017-04-18,8014
91,2017-04-19,7763
92,2017-04-20,6538
93,2017-04-21,6466
94,2017-04-22,6492
95,2017-04-23,5250
96,2017-04-24,8063
97,2017-04-25,7389
98,2017-04-26,7825
99,2017-04-27,6388
100,2017-04-28,7020
101,2017-04-29,6400
102,2017-04-30,4947
103,2017-05-01,8280
104,2017-05-02,7492
105,2017-05-03,7497
106,2017-05-04,5984
107,2017-05-05,5765
108,2017-05-06,7073
109,2017-05-08,6384
110,2017-05-09,7414
111,2017-05-10,7662
112,2017-05-11,6405
113,2017-05-12,7125
114,2017-05-13,5685
115,2017-05-14,4821
116,2017-05-15,7847
117,2017-05-16,7200
118,2017-05-17,7103
119,2017-05-18,5844
120,2017-05-19,6648
121,2017-05-20,6198
122,2017-05-21,4726
123,2017-05-22,7994
124,2017-05-23,7763
125,2017-05-24,7964
126,2017-05-25,5892
127,2017-05-26,5180
128,2017-05-29,624
129,2017-05-30,7735
130,2017-05-31,8525
131,2017-06-01,6985
132,2017-06-02,7145
133,2017-06-03,6823
134,2017-06-04,5170
135,2017-06-05,8386
136,2017-06-06,7729
137,2017-06-07,7948
138,2017-06-08,6468
139,2017-06-09,6985
140,2017-06-10,6225
141,2017-06-11,4971
142,2017-06-12,7763
143,2017-06-13,7651
144,2017-06-14,7620
145,2017-06-15,6107
146,2017-06-16,5910
147,2017-06-17,6911
148,2017-06-18,4442
149,2017-06-19,7636
150,2017-06-20,7831
151,2017-06-21,7777
152,2017-06-22,6883
153,2017-06-23,7176
154,2017-06-24,6424
155,2017-06-25,4960
156,2017-06-26,8549
157,2017-06-27,8864
158,2017-06-28,9538
159,2017-06-29,8625
160,2017-06-30,9159
161,2017-07-01,6292
162,2017-07-02,7540
163,2017-07-03,8714
164,2017-07-04,5685
165,2017-07-05,9944
166,2017-07-06,8409
167,2017-07-07,8534
168,2017-07-08,8266
169,2017-07-09,6895
170,2017-07-10,10198
171,2017-07-11,9651
172,2017-07-12,9455
173,2017-07-13,8439
174,2017-07-14,9105
175,2017-07-15,7616
176,2017-07-16,6903
177,2017-07-17,10131
178,2017-07-18,9628
179,2017-07-19,9145
180,2017-07-20,8035
181,2017-07-21,8529
182,2017-07-22,6505
183,2017-07-23,7289
184,2017-07-24,9611
185,2017-07-25,9833
186,2017-07-26,9713
187,2017-07-27,8258
188,2017-07-28,8809
189,2017-07-29,8260
190,2017-07-30,6939
191,2017-07-31,10257
192,2017-08-01,9570
193,2017-08-02,9416
194,2017-08-03,8242
195,2017-08-04,8991
196,2017-08-05,8363
197,2017-08-06,6774
198,2017-08-07,10150
199,2017-08-08,9865
200,2017-08-09,9455
201,2017-08-10,8251
202,2017-08-11,8671
203,2017-08-12,7619
204,2017-08-13,6895
205,2017-08-14,10218
206,2017-08-15,9366
207,2017-08-16,9277
208,2017-08-17,8029
209,2017-08-18,8880
210,2017-08-19,7729
211,2017-08-20,6530
212,2017-08-21,9818
213,2017-08-22,9333
214,2017-08-23,9380
215,2017-08-24,8031
216,2017-08-25,9008
217,2017-08-26,7950
218,2017-08-27,6824
219,2017-08-28,10289
220,2017-08-29,9748
221,2017-08-30,9273
222,2017-08-31,7849
223,2017-09-01,7224
224,2017-09-02,9285
225,2017-09-03,6202
226,2017-09-04,6863
227,2017-09-05,10147
228,2017-09-06,9655
229,2017-09-07,8134
230,2017-09-08,8689
231,2017-09-09,8643
232,2017-09-10,6818
233,2017-09-11,9994
234,2017-09-12,9534
235,2017-09-13,9442
236,2017-09-14,7987
237,2017-09-15,8760
238,2017-09-16,8254
239,2017-09-17,7018
240,2017-09-18,10014
241,2017-09-19,9511
242,2017-09-20,8962
243,2017-09-21,8317
244,2017-09-22,7533
245,2017-09-23,8971
246,2017-09-24,6870
247,2017-09-25,10014
248,2017-09-26,9684
249,2017-09-27,9715
250,2017-09-28,8319
251,2017-09-29,8674
252,2017-09-30,7999
253,2017-10-01,5915
254,2017-10-02,9954
255,2017-10-03,9194
256,2017-10-04,9494
257,2017-10-05,9483
258,2017-10-06,7591
259,2017-10-07,9689
260,2017-10-08,6618
261,2017-10-09,7190
